Bid_Action,Ope_Action
0.0,0.0
2.0,-2.0
0.0,0.0
2.0,-2.0
2.0,-2.0
2.0,-2.0
13.263157894736857,-2.0
25.0,-2.0
2.0,-2.0
2.0,-2.0
2.0,-2.0
25.0,-2.0
2.0,-2.0
2.0,-2.0
2.0,-2.0
2.0,-2.0
2.0,-2.0
25.0,-2.0
2.0,-2.0
2.0,-2.0
2.0,-2.0
2.0,-2.0
2.0,-2.0
25.0,-2.0
2.0,-2.0
2.0,-2.0
2.0,-2.0
2.000000000000006,-1.9978456838940895
1.9642887918517509,-1.918225544019161
1.9517824360614955,-1.9517824360614955
1.9517824360614993,-1.8239919491858758
-1.8881305590824071,1.8881305590824071
0.12602213044834532,1.6979698187375212
0.0,0.0
-1.8305748156469188,1.8305748156469188
-23.152257977474807,-1.8477420225251926
23.03863094908095,1.9613690509190498
-1.6348033334878385,1.6348033334878385
-1.3408562558463175,1.3408562558463175
-25.0,2.1493868883538774
-2.1168509288620228,2.1168509288620228
-2.1202386120575802,2.1202386120575802
-25.0,1.544226120490972
-1.9539865208140776,1.9539865208140776
-25.0,2.4079105075525113
-1.8441599459576334,1.8441599459576334
-1.9216020366770312,1.9216020366770312
-1.5892411246297824,1.5892411246297824
-23.640636037188628,1.9640309147061465
-1.7641594996102539,1.7641594996102539
1.971857456944898,-1.971857456944898
-1.8488919729271132,1.8488919729271132
1.7148612142405817,-1.7148612142405817
2.4460879772900066,-2.4460879772900066
2.0988332509812317,-2.0988332509812317
-1.9874183939148917,1.9874183939148917
-1.9874183939148917,0.0
0.0,0.0
2.0906224978164833,-2.0906224978164833
2.1491260667273173,-2.1491260667273173
0.0,0.0
2.1013357500721277,-2.1013357500721277
25.0,-1.7004283741968393
25.0,0.0
2.074581809996182,-2.074581809996182
8.935918752985717,-1.9723324840520293
22.989659282445086,2.0103407175549144
25.0,0.0
-3.8050000000000055,2.0
-2.0,2.0
2.0,-2.0
-2.0,2.0
2.000000000000006,-2.000000000000006
2.0,-2.0
-2.0,2.0
-2.0,2.0
-2.0,2.0
-2.0,2.0
-2.0,2.0
-1.9999999999999847,1.9999999999999847
-1.9999999999999847,1.9999999999999847
-2.0,2.0
-2.0,2.0
-2.0,2.0
-2.0,2.0
-2.0,2.0
2.000000000000006,-2.000000000000006
2.0,-2.0
2.0,-2.0
-2.0,2.0
-25.0,2.0
-25.0,0.0
2.0,-2.0
2.0,-2.0
-18.194999999999997,-2.0
-23.0,-2.0
2.0000000000000018,-2.0000000000000018
2.0,-2.0
6.700831024930749,-2.0
25.0,-2.0
-23.0,-2.0
2.0,-2.0
2.0,-2.0
4.21606648199446,-2.0
2.0,-2.0
2.0,-2.0
2.0,-2.0
2.0,-2.0
2.0,-2.0
2.0,-2.0
-2.0,2.0
2.0,-2.0
2.0,-2.0
-2.0,2.0
-2.0,2.0
-2.0,2.0
-2.0,2.0
23.0,2.0
25.0,-2.0
25.0,-2.0
25.0,-2.0
2.0,-2.0
9.044008021444498,-1.9999999999999991
1.9933216201179036,-1.9933216201179036
1.862985492397403,-1.862985492397403
1.8591493001434674,-1.8591493001434674
2.0030833912979022,-2.0030833912979022
-18.953744540678315,-1.9181353022806817
25.0,-2.062338893337216
2.192158952733731,-2.192158952733731
2.0337316680738726,-2.0337316680738726
-25.0,2.3260762626909823
-2.1519509243076653,2.1519509243076653
-2.580573793188274,2.580573793188274
-1.6047806025911777,1.6047806025911777
-2.1319340873170596,2.1319340873170596
-2.2380479381124214,2.2380479381124214
-23.97231707534781,1.9335468151246324
-25.0,1.8654185652840098
-25.0,1.9667795612486074
-1.6448035470680882,1.6448035470680882
-1.737936906677347,1.737936906677347
-2.1410806741582338,2.1410806741582338
-1.8962753573530833,1.8962753573530833
-2.059360351386469,2.059360351386469
1.8262599770504746,-1.8262599770504746
2.1022789997294655,-2.1022789997294655
-2.0316230049054793,2.0316230049054793
-1.9073542016890306,1.9073542016890306
1.64469467415682,-1.64469467415682
-2.1039537491210636,2.1039537491210636
2.209303911669267,-2.209303911669267
-2.1051904822783425,1.9954784606589722
1.8965095130057246,-1.8965095130057246
-2.0313686525388635,2.0313686525388635
-1.7283890679327585,1.7283890679327585
-2.0313686525388635,0.0
0.0,0.0
1.9466650542115147,-1.9466650542115147
2.279133024621511,-2.279133024621511
0.0,0.0
0.0,0.0
2.0168545029703573,-2.0168545029703573
2.0,-2.0
0.0,0.0
2.0,-2.0
2.0,-2.0
2.0,-2.0
0.0,0.0
0.0,0.0
2.0,-2.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
2.0,-2.0
2.9168975069252054,2.0
-2.0,2.0
23.0,2.0
-2.0,2.0
2.0,-2.0
-2.0,2.0
-2.0,2.0
2.0,-2.0
-2.0,2.0
-25.0,0.0
-1.9999999999999847,1.9999999999999847
-2.0,2.0
-2.0,2.0
-2.0,0.0
2.0,-2.0
2.0,-2.0
2.0,-2.0
2.0,-2.0
2.0,-2.0
2.0,-2.0
2.0,-2.0
25.0,-2.0
2.0,-2.0
2.0,-2.0
23.0,2.0
25.0,0.0
-2.0,2.0
-2.0,2.0
-2.0,2.0
5.263157894736849,2.0
25.0,-2.0
2.0,-2.0
2.0,-2.0
2.0,-2.0
2.0,-2.0
2.0,-2.0
2.0,-2.0
-12.259211280197263,-2.0
-25.0,0.0
-25.0,0.0
2.0,-2.0
-2.015941939152921,2.015941939152921
25.0,-1.7986578612772703
1.8287011759587202,-1.8287011759587202
-2.093743915739916,2.093743915739916
-2.061567946895972,2.061567946895972
25.0,0.0
25.0,-1.755910088672664
-2.0371502774877017,2.0371502774877017
1.561858798511623,-1.561858798511623
-1.9610459034954557,1.9610459034954557
-1.7298231924117706,1.7298231924117706
-25.0,1.871177468929627
-25.0,0.0
-1.7558394001737527,1.7558394001737527
-1.832893335296454,1.832893335296454
-22.091028168508448,1.9323429016275568
-25.0,1.9847196080100602
-2.111174389940582,2.111174389940582
-1.9565019584248615,1.9565019584248615
-2.1125029550317134,2.1125029550317134
-2.1125029550317134,2.1125029550317134
-2.0518641842558303,1.9670282332894153
-1.9318676477018508,1.9318676477018508
1.7645770035569437,-1.7645770035569437
2.131729280014412,-2.131729280014412
1.5903898127370781,-1.5903898127370781
-1.9613854607491503,1.9613854607491503
