Bid_Action,Ope_Action
0.0,0.0
4.999999999999998,-4.999999999999998
0.0,0.0
5.0,-5.0
5.0,-5.0
4.999999999958367,-4.999999999958367
25.0,-5.0
25.0,-5.0
4.999999999999998,-4.999999999999998
5.0,-5.0
5.0,-5.0
25.0,-5.0
4.999999999999998,-4.999999999999998
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
25.0,-5.0
4.999999999958367,-4.999999999958367
4.999999999999998,-4.999999999999998
5.0,-5.0
4.999999999999998,-4.999999999999998
5.0,-5.0
25.0,-5.0
5.2631578947368425,-5.0
4.999999999999998,-4.999999999999998
5.0,-5.0
5.000000000000009,-4.997845683894082
4.964288791851772,-4.918225544019154
4.951782436061495,-4.951782436061495
4.823991949185876,-4.823991949185876
-4.888130559082407,4.888130559082407
-4.697969818737521,4.697969818737521
4.951782436061447,-4.951782436061447
-4.830574815646919,4.830574815646919
-20.152257977474807,-4.847742022525193
-4.961369050919046,4.961369050919046
-4.634803333487838,4.634803333487838
-4.340856255846317,4.340856255846317
-25.0,5.149386888353877
-5.116850928862023,5.116850928862023
-5.120238612057579,5.120238612057579
-25.0,4.544226120490972
-4.953986520814078,4.953986520814078
-25.0,5.407910507552511
-4.8441599459576326,4.8441599459576326
-4.921602036677031,4.921602036677031
-4.5892411246297815,4.5892411246297815
-5.5233777333278695,4.964030914706146
-4.764159499610253,4.764159499610253
4.971857456944898,-4.971857456944898
-4.848891972927112,4.848891972927112
4.714861214240581,-4.714861214240581
5.446087977290007,-5.446087977290007
5.098833250981231,-5.098833250981231
-4.987418393914892,4.987418393914892
-4.883967353627597,4.883967353627597
-5.034373860463528,5.034373860463528
5.090622497816483,-5.090622497816483
5.149126066727318,-5.149126066727318
-5.073193049230197,5.073193049230197
5.101335750072128,-5.101335750072128
4.70042837419684,-4.70042837419684
5.2052141559828575,-5.2052141559828575
5.0745818099961815,-5.0745818099961815
4.972332484052044,-4.972332484052044
-5.010340717554913,5.010340717554913
5.0,-5.0
-5.0,5.0
-5.0,5.0
5.0,-5.0
-5.0,5.0
5.0,-5.0
4.999999999999998,-4.999999999999998
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
4.999999999999998,-4.999999999999998
5.0,-5.0
4.999999999999998,-4.999999999999998
-5.0,5.0
-5.0,5.0
-5.073193049230197,5.0
4.999999999979183,-4.999999999979183
5.0,-5.0
4.999999999958367,-4.999999999958367
0.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
4.999999999958367,-4.999999999958367
10.54016620498615,-5.000000000000001
5.0,-5.0
4.999999999999998,-4.999999999999998
5.0,-5.0
5.0,-5.0
5.0,-5.0
4.999999999999998,-4.999999999999998
5.0,-5.0
-5.0,5.0
5.0,-5.0
5.0,-5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
5.0,-5.0
25.0,-5.0
25.0,-4.9999999999999964
4.999999999999998,-4.999999999999998
5.0,-5.0
4.993321620117904,-4.993321620117904
4.862985492397403,-4.862985492397403
4.859149300143468,-4.859149300143468
5.003083391297902,-5.003083391297902
4.9181353022806835,-4.9181353022806835
5.062338893337215,-5.062338893337215
5.192158952733733,-5.192158952733733
5.033731668073873,-5.033731668073873
-25.0,5.326076262690986
-5.1519509243076635,5.1519509243076635
-5.5805737931882735,5.5805737931882735
-4.604780602591177,4.604780602591177
-5.131934087317058,5.131934087317058
-5.238047938112421,5.238047938112421
-4.9335468151246324,4.9335468151246324
-21.187541078853933,4.86541856528401
-4.966779561248606,4.966779561248606
-4.644803547068086,4.644803547068086
-4.737936906677346,4.737936906677346
-5.103953749121064,5.103953749121064
-4.896275357353083,4.896275357353083
-5.059360351386468,5.059360351386468
4.826259977050475,-4.826259977050475
5.1022789997294655,-5.1022789997294655
-5.031623004905478,5.031623004905478
-4.90735420168903,4.90735420168903
4.6446946741568205,-4.6446946741568205
-5.103953749121064,5.103953749121064
5.2093039116692665,-5.2093039116692665
-5.068063557241172,4.995478460658973
4.896509513005725,-4.896509513005725
-5.031368652538864,5.031368652538864
-4.728389067932758,4.728389067932758
-4.942639123297003,4.911270470758138
-5.0,5.0
4.946665054211515,-4.946665054211515
5.279133024621511,-5.279133024621511
-5.0,5.0
-5.0,5.0
5.0168545029703555,-5.0168545029703555
5.0,-5.0
-5.0,5.0
4.999999999999998,-4.999999999999998
5.0,-5.0
4.999999999999998,-4.999999999999998
-5.0,5.0
-5.0,5.0
5.0,-5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
4.999999999979183,-4.999999999979183
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
4.999999999999998,-4.999999999999998
-5.0,5.0
-5.0,5.0
5.0,-5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,0.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
10.644037579767218,-5.0
5.0,-5.0
5.0,-5.0
-5.0,5.0
5.0,-5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
-5.0,5.0
-5.0,5.0
5.0,-5.0
-5.01594193915292,5.01594193915292
4.798657861277273,-4.798657861277273
4.82870117595872,-4.82870117595872
-5.093743915739915,5.093743915739915
-5.061567946895975,5.061567946895975
5.069653732893005,-5.069653732893005
4.755910088672664,-4.755910088672664
-5.037150277487701,5.037150277487701
4.561858798511623,-4.561858798511623
-4.961045903495456,4.961045903495456
-4.729823192411771,4.729823192411771
-4.871177468929629,4.871177468929629
-5.093743915739915,5.093743915739915
-4.755839400173752,4.755839400173752
-4.832893335296455,4.832893335296455
-4.932342901627563,4.932342901627563
-4.984719608010058,4.984719608010058
-5.093743915739916,5.093743915739916
-4.9565019584248615,4.9565019584248615
-5.093743915739916,5.093743915739916
-5.093743915739915,5.093743915739915
-5.033105144964032,4.967028233289415
-4.931867647701853,4.931867647701853
4.764577003556944,-4.764577003556944
5.131729280014412,-5.131729280014412
4.590389812737078,-4.590389812737078
-4.961385460749151,4.961385460749151
4.707141651471163,-4.707141651471163
-4.974845939464728,4.974845939464728
-5.027667004065298,5.027667004065298
-5.0276670040652975,5.0276670040652975
-5.027667004065298,5.027667004065298
4.912455134262201,-4.912455134262201
-4.707807038524525,4.707807038524525
-5.0276670040652975,5.0276670040652975
-5.027667004065298,5.027667004065298
-4.9276544238225854,4.9276544238225854
-4.911383741977235,4.911383741977235
-5.0276670040652975,5.0276670040652975
-5.0,5.0
-5.0,5.0
-4.999999999999999,4.999999999999999
5.0,-5.0
-5.0,5.0
-4.999999999999998,4.999999999999998
5.0,-5.0
-5.0,5.0
-4.999999999999993,4.999999999999993
5.0,-5.0
-4.9999999999989315,4.9999999999989315
5.0,-5.0
-5.0,5.0
5.0,-5.0
-5.0,5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
-5.0,5.0
-5.0,5.0
-4.999999999999999,4.999999999999999
-5.0276670040652975,4.999999999999999
-5.0,5.0
-5.0,5.0
5.0,-5.0
0.0,-5.0
5.0,-5.0
4.999999999999998,-4.999999999999998
5.0,-5.0
5.0,-5.0
0.0,0.0
0.0,0.0
0.0,0.0
0.8500794659991957,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
4.999999999958367,-4.999999999958367
4.999999999999998,-4.999999999999998
5.0,-5.0
4.999999999999998,-4.999999999999998
5.0,-5.0
4.999999999999998,-4.999999999999998
5.0,-5.0
4.999999999999998,-4.999999999999998
5.0,-5.0
-5.043517188020538,5.043517188020538
4.863291549535193,-4.863291549535193
-5.168702362894355,5.168702362894355
4.902766628560516,-4.902766628560516
-5.040034936275833,5.040034936275833
-4.974440585104862,4.974440585104862
4.947604359198154,-4.947604359198154
5.088462553929013,-5.088462553929013
-5.022471684459466,5.022471684459466
4.959608465493057,-4.959608465493057
-5.279696718064274,5.279696718064274
-5.279696718064274,5.279696718064274
-4.921549335876501,4.778077875701546
-5.0790966433970235,5.0790966433970235
-5.136225257889316,5.136225257889317
-5.105621871465889,5.105621871465889
-4.813820063536844,4.813820063536844
-5.136225257889318,5.136225257889318
-5.085428628801666,5.085428628801666
-4.814750059100634,4.814750059100634
-5.110794123685283,5.110794123685283
-5.112509582078487,5.112509582078487
-5.114938868081225,5.114938868081225
-5.126903843242801,5.126903843242801
-4.927171911702795,4.927171911702795
-5.136225257889317,5.136225257889317
-5.136225257889317,5.136225257889317
-4.972778616446324,4.972778616446324
-5.136225257889316,5.136225257889316
-4.905845444040409,4.905845444040409
-5.136225257889317,5.136225257889317
-5.136225257889317,5.136225257889317
5.1774071466173375,-5.1774071466173375
-4.924599828620783,4.924599828620783
-5.136225257889317,5.136225257889317
-5.136225257889316,5.136225257889316
5.159979433686159,-5.159979433686159
5.080850404542706,-5.080850404542706
4.926537820680583,-4.926537820680583
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
5.0,-5.0
-5.0,5.0
5.0,-5.0
4.999999999999998,-4.999999999999998
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
5.0,-5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
4.863774742110683,-5.0
4.999999999979183,-4.999999999979183
-5.0,5.0
-5.0,5.0
-5.0,0.0
0.0,0.0
0.0,0.0
5.0,-5.0
0.0,0.0
5.0,-5.0
0.0,0.0
0.0,0.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
0.0,5.0
-4.5125,4.5125
-4.5125,4.5125
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
4.999999999958367,-4.999999999958367
4.999999999999998,-4.999999999999998
25.0,-5.0
4.999999999999998,-4.999999999999998
19.590378291807276,-5.0
4.999999999999998,-4.999999999999998
25.0,-5.0
25.0,-5.0
25.0,-5.0
4.999999999958367,-4.999999999958367
-5.002369747824363,5.002369747824363
4.939473665590643,-4.939473665590643
-4.980432105981549,4.980432105981549
-4.886910709115716,4.886910709115716
-4.98035932680717,4.98035932680717
4.983524688362178,-4.983524688362178
5.672779602929572,-5.672779602929574
-20.294308803939284,-4.7056911960554615
-5.4903599632561155,5.4903599632561155
-4.733922020840787,4.733922020840787
-4.6299794745845055,4.6299794745845055
-25.0,4.796386670279858
-5.043307750660659,5.043307750660659
-25.0,4.749759873693794
-24.03455621048504,4.72844224209377
-4.8710244157065405,4.8710244157065405
-4.853565303196605,4.853565303196605
-5.086945906938995,5.086945906938995
-5.0859086163322145,5.0859086163322145
-4.6595073859887925,4.6595073859887925
-4.432708386412822,4.432708386412822
-5.120348983943709,5.120348983943709
-5.1203489839437095,5.1203489839437095
-4.793180915296901,4.793180915296901
5.222378128231159,-5.222378128231159
-5.1203489839437095,5.1203489839437095
-5.005810342151522,5.005810342151522
-4.9191686482167665,4.9191686482167665
4.893331212930825,-4.893331212930825
4.871542745436275,-4.871542745436275
-5.1203489839437095,5.1203489839437095
-5.106597940783434,5.106597940783437
-5.120348983943712,5.120348983943712
-4.924427683191517,4.924427683191517
-5.067425940669526,5.067425940669526
-5.120348983943713,5.120348983943713
-5.0213513979811975,5.0213513979811975
4.933076215910346,-4.933076215910346
-4.894449127675837,4.894449127675837
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
-5.0,5.0
4.999999999999998,-4.999999999999998
5.0,-5.0
4.999999999999998,-4.999999999999998
5.0,-5.0
4.999999999999998,-4.999999999999998
