Bid_Action,Ope_Action
0.0,0.0
10.0,-10.0
0.0,0.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
25.0,-10.0
25.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
25.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
25.0,-10.0
10.0,-10.0
15.263157894736842,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
25.0,-10.0
25.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-9.99784568389409
9.964288791851741,-9.91822554401916
9.951782436061512,-9.951782436061498
9.951782436061507,-9.823991949185874
-9.888130559082407,9.888130559082407
0.1260221304483693,9.697969818737507
0.0,0.0
-9.83057481564692,9.83057481564692
-15.152257977474807,-9.847742022525193
-9.96136905091905,9.96136905091905
-9.634803333487838,9.634803333487838
-9.340856255846317,9.340856255846317
-25.0,10.149386888353877
-10.116850928862021,10.116850928862021
-10.120238612057577,10.120238612057577
-25.0,9.544226120490972
-10.032122558002708,9.953986520814077
-25.0,10.407910507552511
-9.844159945957635,9.844159945957635
-9.921602036677031,9.921602036677031
-9.589241124738365,9.589241124738365
-25.0,9.96403091470615
-9.764159499610251,9.764159499610251
9.971857456944898,-9.971857456944898
-9.848891972927111,9.848891972927111
9.714861214240582,-9.714861214240582
10.446087977290006,-10.446087977290006
10.098833250981231,-10.098833250981231
-9.987418393914892,9.987418393914892
-9.987418393914892,0.0
0.0,4.440892098500626e-16
10.090622497816483,-10.090622497816483
10.149126066727318,-10.149126066727318
0.0,0.0
10.101335750072128,-10.101335750072128
25.0,-9.700428374196841
25.0,0.0
10.074581809996182,-10.074581809996182
14.935918752985726,-9.972332484052044
14.989659282445086,10.010340717554914
25.0,0.0
-10.0,10.0
-10.0,10.0
10.0,-10.0
-10.0,10.0
10.0,-10.0
10.0,-10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
-10.0,10.0
-25.0,10.0
-25.0,0.0
10.0,-10.0
10.0,-10.0
-10.975000000000009,-9.999999999999996
-15.0,-10.0
10.000000000000002,-10.000000000000002
10.0,-10.0
10.0,-10.0
25.0,-10.0
-3.5375000000000023,-10.0
9.999999999958366,-9.999999999958366
21.080332409972296,-10.0
10.0,-10.0
9.999999999999996,-9.999999999999996
10.0,-10.0
10.0,-10.0
10.0,-10.0
9.999999999999996,-9.999999999999996
10.0,-10.0
-10.0,10.0
10.0,-10.0
10.0,-10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.000000000000002,10.000000000000002
15.0,10.0
25.0,-10.0
25.0,-10.0
25.0,-10.0
9.999999999999996,-9.999999999999996
23.990666532030815,-9.999999999999998
9.993321620117904,-9.993321620117904
9.862985492397401,-9.862985492397401
9.859149300143468,-9.859149300143468
10.003083391297901,-10.003083391297901
9.918135302280684,-9.918135302280684
10.062338893337216,-10.062338893337216
10.192158952733731,-10.192158952733731
10.033731668073873,-10.033731668073873
-25.0,10.326076262690986
-10.151950924307666,10.151950924307666
-10.580573793188274,10.580573793188274
-10.59514561605141,9.604780602591177
-10.131934087317061,10.131934087317061
-25.0,10.238047938112423
-25.0,9.933546815124632
-25.0,9.86541856528401
-25.0,9.966779561248606
-9.644803547068088,9.644803547068088
-9.737936906677346,9.737936906677346
-10.141080674158236,10.141080674158236
-9.896275357353082,9.896275357353082
-10.05936035138647,10.05936035138647
9.826259977050475,-9.826259977050475
10.102278999729466,-10.102278999729466
-10.031623004905478,10.031623004905478
-9.907354201689031,9.907354201689031
9.64469467415682,-9.64469467415682
-10.103953749121063,10.103953749121063
10.209303911669267,-10.209303911669267
-10.105190482278344,9.995478460658973
9.896509513005725,-9.896509513005725
-10.031368652538864,10.031368652538864
-9.72838906793276,9.72838906793276
-10.031368652538864,9.911270470758136
-9.911270470758138,9.911270470758138
9.946665054211515,-9.946665054211515
10.279133024621512,-10.279133024621512
-9.911270470758136,9.911270470758136
-9.911270470758136,9.911270470758136
10.016854502970356,-10.016854502970356
10.0,-10.0
-9.911270470758136,9.911270470758136
9.999999999999996,-9.999999999999996
10.0,-10.0
9.999999999999996,-9.999999999999996
-9.911270470758136,9.911270470758136
-9.911270470758136,9.911270470758136
10.0,-10.0
-9.911270470758136,9.911270470758136
-9.911270470758138,9.911270470758138
-9.911270470758136,9.911270470758136
-9.911270470758136,9.911270470758136
-9.911270470758136,9.911270470758136
-9.911270470758136,9.911270470758136
9.999999999979183,-9.999999999979183
-9.90168473214198,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
9.999999999999996,-9.999999999999996
-10.0,10.0
-10.0,10.0
10.0,-10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,0.0
10.0,-10.0
9.999999999999996,-9.999999999999996
10.0,-10.0
10.0,-10.0
10.0,-10.0
9.999999999958366,-9.999999999958366
10.0,-10.0
25.0,-10.0
9.999999999999996,-9.999999999999996
10.0,-10.0
15.0,10.0
25.0,0.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
5.263157894673922,10.0
25.0,-10.0
10.0,-10.0
9.999999999958366,-9.999999999958366
9.999999999999996,-9.999999999999996
10.0,-10.0
9.999999999999996,-9.999999999999996
10.0,-10.0
9.999999999999996,-9.999999999999996
-25.0,10.0
-25.0,0.0
10.0,-10.0
-10.01594193915292,10.01594193915292
9.798657861277274,-9.798657861277274
9.82870117595872,-9.82870117595872
-10.093743915739914,10.093743915739914
-10.061567946895972,10.061567946895972
25.0,-3.6353397472025932
9.755910088672664,-9.755910088672664
-10.0371502774877,10.0371502774877
9.561858798511622,-9.561858798511622
-9.961045903495455,9.961045903495455
-9.729823192411772,9.729823192411772
-25.0,9.871177468929627
-25.0,-8.597567102697212e-13
-9.755839400173752,9.755839400173752
-9.832893335296454,9.832893335296454
-9.932342901627564,9.932342901627564
-25.0,9.984719608010058
-10.111174389940581,10.111174389940581
-9.956501958424862,9.956501958424862
-10.112502955031712,10.112502955031712
-10.112502955031712,10.112502955031712
-10.051864184255825,9.967028233289415
-9.931867647701852,9.931867647701852
9.764577003556944,-9.764577003556944
10.131729280014412,-10.131729280014412
9.590389812737078,-9.590389812737078
-9.96138546074915,9.96138546074915
9.707141651471165,-9.707141651471165
-9.974845939465803,9.974845939465803
-10.027667004065302,10.027667004065302
-10.0276670040653,10.0276670040653
-10.027667004065302,10.027667004065302
9.912455134262201,-9.912455134262201
-9.707807038524525,9.707807038524525
-10.027667004065302,10.027667004065302
-10.027667004065302,10.027667004065302
-9.92765442382259,9.92765442382259
-9.911383741977234,9.911383741977234
-10.027667004065298,10.027667004065298
-10.0,10.0
-10.0,10.0
-10.0,10.0
9.999999999999996,-9.999999999999996
-10.0,10.0
-10.0,10.0
10.0,-10.0
-10.0,10.0
-10.0,10.0
9.999999999999996,-9.999999999999996
-10.0,10.0
9.999999999999996,-9.999999999999996
-10.0,10.0
9.999999999979183,-9.999999999979183
-10.0,10.0
9.999999999979183,-9.999999999979183
9.999999999999996,-9.999999999999996
10.0,-10.0
9.999999999999996,-9.999999999999996
10.0,-10.0
9.999999999999996,-9.999999999999996
10.0,-10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.027667004065304,10.0
-10.0,10.0
-10.0,10.0
9.999999999958366,-9.999999999958366
0.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
9.999999999999998,-9.999999999999998
0.0,0.0
0.0,10.0
2.374639829257992,10.0
15.0,10.0
-10.0,10.0
15.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
9.999999999979183,-9.999999999979183
10.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
9.999999999958366,-9.999999999958366
9.999999999979183,-9.999999999979183
10.0,-10.0
10.0,-10.0
10.0,-10.0
9.999999999979183,-9.999999999979183
10.0,-10.0
9.999999999958366,-9.999999999958366
9.999999999979183,-9.999999999979183
-10.04351718802054,10.04351718802054
9.863291549514376,-9.863291549514376
-10.168702362894354,10.168702362894354
9.902766628560515,-9.902766628560515
-24.99999999999341,10.040034936275834
-9.974440585104864,9.974440585104864
9.947604359198154,-9.947604359198154
10.088462553929011,-10.088462553929011
-25.0,0.0
9.95960846547224,-9.95960846547224
-10.279696718064274,10.279696718064274
-10.303646549527743,10.303646549527743
-25.0,9.778077875701545
-10.079096643397023,10.079096643397023
-10.136225257889317,10.136225257889317
-10.10562187146589,10.10562187146589
-9.813820063536845,9.813820063536845
-10.136225257889317,10.136225257889317
-10.085428628801665,10.085428628801665
-9.814750059100634,9.814750059100634
-10.110794123685283,10.110794123685283
-10.112509582078484,10.112509582078484
-10.114938868081225,10.114938868081225
-10.1269038432428,10.1269038432428
-9.927171911702795,9.927171911702795
-10.136225257889317,10.136225257889317
-10.136225257889317,10.136225257889317
-9.972778616446323,9.972778616446323
-10.136225257889317,10.136225257889317
-9.90584544404041,9.90584544404041
-10.136225257889317,10.136225257889317
-10.136225257889318,10.136225257889318
10.17740714661734,-10.17740714661734
-9.924599828620781,9.924599828620781
-10.136225257889317,10.136225257889317
-10.136225257889317,10.136225257889317
10.159979433686159,-10.159979433686159
10.080850404542705,-10.080850404542705
9.926537820680585,-9.926537820680585
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
10.0,-10.0
-10.0,10.0
10.0,-10.0
9.999999999979183,-9.999999999979183
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
10.0,-10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
9.863774742110683,-10.0
9.999999999979183,-9.999999999979183
-10.0,10.0
-10.0,10.0
-9.999999999999998,-1.7763568394002505e-15
0.0,0.0
0.0,0.0
10.0,-10.0
0.0,0.0
10.0,-10.0
0.0,0.0
0.0,0.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
0.0,10.0
-9.025,9.025
-9.025,9.025
10.0,-10.0
10.0,-10.0
9.999999999958366,-9.999999999958366
10.0,-10.0
9.999999999958366,-9.999999999958366
9.999999999999996,-9.999999999999996
25.0,-10.0
20.263157894778473,-10.0
25.0,-10.0
9.999999999999996,-9.999999999999996
25.0,-10.0
25.0,-10.0
25.0,-10.0
9.999999999958366,-9.999999999958366
-10.002369747824364,10.002369747824364
9.939473665590642,-9.939473665590642
-9.980432105981551,9.980432105981551
-9.886910709115716,9.886910709115716
-9.98035932680717,9.98035932680717
9.983524688362177,-9.983524688362177
9.99999999995837,-10.672779602929575
-15.294308803939286,-9.70569119605546
-10.490359963256115,10.490359963256115
-9.733922020840788,9.733922020840788
-14.08643967377985,9.629979474584506
-25.0,9.79638667027986
-10.04330775066066,10.04330775066066
-25.0,9.749759873693792
-25.0,9.72844224209377
-9.87102441570654,9.87102441570654
-9.853565303196604,9.853565303196604
-10.086945906938995,10.086945906938995
-10.085908616332215,10.085908616332215
-9.65950738598879,9.65950738598879
-9.432708386412822,9.432708386412822
-10.12034898394371,10.12034898394371
-10.120348983943712,10.120348983943712
-9.7931809152969,9.7931809152969
10.22237812823116,-10.222378128231158
-10.120348983943714,10.120348983943714
-10.005810342151522,10.005810342151522
-9.919168648216765,9.919168648216765
9.893331212930825,-9.893331212930825
9.871542745436276,-9.871542745436276
-10.120348983943712,10.120348983943712
-10.106597940783436,10.106597940783436
-10.120348983943712,10.120348983943712
-9.924427683191517,9.924427683191517
-10.067425940669526,10.067425940669526
-10.120348983943714,10.120348983943714
-10.021351397981196,10.021351397981196
9.933076215910347,-9.933076215910347
-9.894449127675838,9.894449127675838
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
9.999999999999996,-9.999999999999996
10.0,-10.0
9.999999999999996,-9.999999999999996
10.0,-10.0
9.999999999999996,-9.999999999999996
10.0,-10.0
9.999999999999998,-9.999999999999998
10.0,-10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
9.999999999999996,-9.999999999999996
10.0,-10.0
9.999999999999996,-9.999999999999996
10.0,-10.0
-10.0,10.0
10.0,-10.0
-10.0,10.0
-10.120348983943712,10.0
-10.0,10.0
-10.000000000000002,10.000000000000002
-10.0,10.0
-9.999999999999996,-5.329070518200751e-15
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
0.0,0.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
25.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
23.04947028090568,-9.982550037893374
9.780259732234743,-9.780259732234743
9.70224580232759,-9.70224580232759
9.767065854087225,-9.767065854087225
-10.202997487730748,10.202997487730748
-10.279537984515382,10.279537984515382
-10.168167623334515,10.168167623334515
9.687369068490188,-9.687369068490188
9.68685563015212,-9.68685563015212
-10.526752390609296,10.526752390609296
-10.244424419402542,10.244424419402542
-10.344624735460915,10.344624735460915
-24.999999999999996,10.319867982159433
-10.349366545213726,10.349366545213726
-10.41373094806102,10.41373094806102
-10.38289119696936,10.38289119696936
-10.437590841032575,10.437590841032575
-10.489305158311442,10.489305158311442
-10.445985731425509,10.445985731425509
-10.355145961146976,10.355145961146976
9.656190706865802,-9.656190706865802
9.520232108715678,-9.520232108715678
9.478109968280052,-9.478109968280052
-10.459646914987285,10.459646914987285
-10.494857992359785,10.494857992359785
-10.65026350147805,10.65026350147805
-10.650263501478047,10.650263501478047
-10.40298061590081,10.40298061590081
-10.54144486887839,10.54144486887839
-10.650263501478047,10.58874746644846
9.447775766185066,-9.447775766185066
9.572361089778331,-9.572361089778331
9.514610479610358,-9.514610479610358
8.963527991282291,-9.552275457730753
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
9.946519180289098,-9.946519180289098
-10.0,10.0
10.013524458809957,-10.013524458809957
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-9.999999999999998,9.999999999999998
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
10.0,-10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-9.999999999999998,9.999999999999998
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.000000000000004,10.000000000000004
-10.0,10.0
-10.0,10.0
0.0,-10.0
10.000000000000002,-10.000000000000002
10.0,-10.0
10.0,-10.0
10.0,-10.0
0.0,0.0
0.0,0.0
10.0,-10.0
25.0,-10.0
9.999999999999996,-9.999999999999996
10.0,-10.0
10.0,-10.0
25.0,-10.0
9.999999999999996,-9.999999999999996
-10.0,10.0
9.999999999979183,-9.999999999979183
25.0,-10.000000000000007
9.999999999958366,-9.999999999958366
-10.0,10.0
9.999999999958366,-9.999999999958366
25.0,-10.0
-10.0,10.0
-10.0,10.0
10.0,-10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
14.978672270042992,10.021327729957008
20.263157894736842,7.105427357601002e-15
-10.297417125561253,10.297417125561253
-10.132995203734858,10.132995203734858
-10.06321997498435,10.06321997498435
-10.217658093060601,10.217658093060601
-10.25782935715576,10.25782935715576
-25.0,10.099256750827383
-25.0,10.199210288286885
-10.296889170835016,10.296889170835016
-10.194869888224314,10.194869888224314
-25.0,10.11960494015663
-25.0,10.11936321073625
-20.60944404909377,10.07464389911297
-10.031127554265794,10.031127554265794
-25.0,10.311608788438509
-10.087932705760839,10.087932705760839
-9.902720002552865,9.902720002552865
-10.314243828464864,10.314243828464864
-10.196287445086396,10.196287445086396
-10.053064972525906,10.053064972525906
-10.314243828464864,10.175415403488437
-10.17541540348844,10.053903136155842
-10.053903136155842,10.053903136155842
-10.053903136155839,10.053903136155839
9.772749730096164,-9.772749730096164
9.892665194730153,-9.892665194730153
9.955553975141871,-9.955553975141871
9.727942688996558,-9.727942688996558
9.78812700319845,-9.78812700319845
10.003636670810023,-10.003636670810023
9.689279866976364,-9.689279866976364
10.058623486900059,-10.058623486900059
9.620353531310833,-9.67425666751594
10.109955328908033,-10.109955328908033
9.826429440103666,-9.826429440103666
9.681092466262147,-9.681092466262147
10.09637382769436,-10.09637382769436
10.000681875776879,-10.000681875776879
-9.999999999950735,9.999999999950735
10.0,-10.0
-9.999999999950735,9.999999999950735
9.999999999999996,-9.999999999999996
-10.0,10.0
9.999999999999996,-9.999999999999996
10.0,-10.0
9.999999999999996,-9.999999999999996
10.0,-10.0
-10.0,10.0
10.0,-10.0
9.999999999999996,-9.999999999999996
-9.999999999950735,9.999999999950735
9.999999999979183,-9.999999999979183
10.0,-10.0
9.999999999979183,-9.999999999979183
9.999999999999996,-9.999999999999996
10.0,-10.0
-9.999999999950735,9.999999999950735
-9.999999999950735,9.999999999950735
9.999999999999996,-9.999999999999996
-9.999999999950735,9.999999999950735
-9.999999999950735,9.999999999950735
-9.999999999950735,9.999999999950735
-9.999999999950735,9.999999999950735
-9.999999999950735,9.999999999950735
-9.999999999950735,9.999999999950735
10.0,-10.0
4.9265480583926546e-11,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
1.0803324099722982,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
-9.999999999999998,9.999999999999998
-9.999999999999998,9.999999999999998
-10.0,10.0
-10.0,10.0
25.0,-5.8171745152354575
15.0,10.0
-9.999999999999998,9.999999999999998
25.0,0.0
25.0,0.0
-10.236626239346108,10.236626239346108
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-12.858346515476086,-9.704153484523914
25.0,-10.12118470187782
9.980837105322127,-9.980837105322127
9.736066186045464,-9.736066186045464
-14.943349479596318,-10.056650520403682
-10.096058727398994,10.096058727398994
-25.0,10.022326205004118
-25.0,10.222149337330668
-25.000000000000004,10.176353288393624
-10.013694634369292,10.013694634369292
-9.783366890173598,9.783366890173598
-10.272621556700106,10.272621556700106
-9.888122827527837,9.888122827527837
-10.197674706877516,10.197674706877516
-10.328924314935039,10.328924314935039
-10.150093773342983,10.150093773342983
-9.93104084472352,9.93104084472352
-10.114110171660961,10.114110171660961
-10.161471465931024,10.161471465931024
-10.345751333412302,10.345751333412302
-10.05102762900373,10.05102762900373
10.153874976887385,-10.153874976887385
9.77918175234971,-9.77918175234971
9.45620915656402,-9.456209156564018
10.230170588515078,-10.230170588515078
9.861985123908354,-9.861985123908354
-16.286459637283695,10.0
9.990097298679407,-9.990097298679407
9.80349449351741,-9.80349449351741
10.045871076573722,-10.045871076573722
9.891553132890289,-9.891553132890289
9.97901205904609,-9.97901205904609
10.023282720773922,-10.023282720773922
10.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
10.0,-10.0
-9.999999999999998,9.999999999999998
-9.999999999999998,9.999999999999998
-9.999999999999998,9.999999999999998
-9.999999999999998,9.999999999999998
10.0,-10.0
-9.999999999999998,9.999999999999998
-10.0,10.0
-9.999999999999998,9.999999999999998
-9.999999999999998,9.999999999999998
-9.999999999999998,9.999999999999998
-9.999999999886311,9.999999999886311
-9.999999999999998,9.999999999999998
