B_Sell,B_Purc,O_Sell,O_Purc,B_Cha,B_Dis,O_Cha,O_Dis,SoC,LMP_Bid,LMP_Oper,Solar_G,Solar_bd,Profit_bid,Profit_oper,Degradation,Total_Profit
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0402193069458,11.88,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9.999999999999996,0.0,0.0,9.999999999999996,0.0,0.0,0.0,0.0,11.219687461853027,11.924166666666666,0.0,0.0,-112.19687461853023,119.24166666666662,0.0,7.044792048136387
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.221246719360352,11.1675,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,8.140646934509277,10.310833333333331,0.0,0.0,-81.40646934509277,103.10833333333332,0.0,21.701863988240547
0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,3.552713678800501e-15,9.196823120117188,10.3375,0.0,0.0,-91.96823120117188,103.375,0.0,11.406768798828125
0.0,9.999999999958366,0.0,0.0,9.999999999958366,0.0,0.0,0.0,3.552713678800501e-15,8.218646049499512,9.006666666666666,0.0,0.0,-82.18646049465293,90.06666666629167,0.0,7.880206171638733
0.0,25.0,0.0,15.0,25.0,0.0,15.0,0.0,14.250000000000004,6.533509254455566,7.3375,0.0,0.0,-163.33773136138916,73.375,9.375,-99.33773136138916
0.0,25.0,0.0,14.999999999999979,25.0,0.0,14.999999999999979,0.0,28.499999999999982,5.838385581970215,7.066666666666666,0.0,0.0,-145.95963954925537,70.66666666666681,9.374999999999986,-84.66797288258854
0.0,9.999999999999996,0.0,0.0,9.999999999999996,0.0,0.0,0.0,28.499999999999982,8.431440353393555,9.309166666666668,0.0,0.0,-84.31440353393552,93.09166666666664,0.0,8.777263132731122
0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,28.499999999999986,7.974442005157471,8.753333333333332,0.0,0.0,-79.7444200515747,87.53333333333332,0.0,7.78891328175861
0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,28.499999999999986,7.633009910583496,8.169166666666667,0.0,0.0,-76.33009910583496,81.69166666666668,0.0,5.361567560831716
0.0,25.0,0.0,15.0,25.0,0.0,15.0,0.0,42.749999999999986,6.249880313873291,8.455833333333333,0.0,0.0,-156.24700784683228,84.55833333333332,9.375,-81.06367451349895
0.0,9.999999999999996,0.0,0.0,9.999999999999996,0.0,0.0,0.0,42.749999999999986,7.213972568511963,9.95,0.0,0.0,-72.1397256851196,99.49999999999996,0.0,27.360274314880357
0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,42.749999999999986,7.661158084869385,9.36,0.0,0.0,-76.61158084869385,93.6,0.0,16.988419151306147
0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,42.749999999999986,6.754530906677246,7.664166666666666,0.0,0.0,-67.54530906677246,76.64166666666665,0.0,9.09635759989419
0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,42.74999999999998,7.304480075836182,8.438333333333333,0.0,0.0,-73.04480075836182,84.38333333333333,0.0,11.33853257497151
0.0,9.999999999958366,0.0,0.0,9.999999999958366,0.0,0.0,0.0,42.74999999999998,6.73724126815796,8.746666666666668,0.0,0.0,-67.3724126812991,87.46666666630252,0.0,20.09425398500342
0.0,25.0,0.0,15.0,25.0,0.0,15.0,0.0,56.99999999999998,6.501277923583984,8.7375,0.0,0.0,-162.5319480895996,87.375,9.375,-84.53194808959961
0.0,9.999999999958366,0.0,0.0,9.999999999958366,0.0,0.0,0.0,56.99999999999998,6.676217555999756,8.93,0.0,0.0,-66.7621755597196,89.2999999996282,0.0,22.537824439908604
0.0,15.263157894736866,0.0,5.263157894736866,15.263157894736866,0.0,5.263157894736866,0.0,62.0,6.594011306762695,9.136666666666668,0.0,0.0,-100.6454357347992,91.36666666666669,3.2894736842105408,-12.568242752343046
0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,62.0,7.322320461273193,9.758333333333333,0.0,0.0,-73.22320461273193,97.58333333333333,0.0,24.360128720601395
0.0,9.999999999999996,0.0,0.0,9.999999999999996,0.0,0.0,0.0,62.0,8.40904712677002,9.089166666666666,0.0,0.0,-84.09047126770017,90.89166666666662,0.0,6.801195398966456
0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,62.0,7.705135822296143,9.311666666666667,0.0,0.0,-77.05135822296143,93.11666666666667,0.0,16.06530844370525
0.0,25.0,0.0,15.0,25.0,0.0,15.0,0.0,76.25,6.516254425048828,10.345,0.0,0.0,-162.9063606262207,103.45,9.375,-68.8313606262207
0.0,25.0,0.0,15.0,25.0,0.0,15.0,0.0,90.5,6.579885482788086,10.07,0.0,0.0,-164.49713706970215,100.7,9.375,-73.17213706970215
0.0,9.999999999999996,0.0,0.0,9.999999999999996,0.0,0.0,0.0,90.5,7.615588188171387,10.705,0.0,0.0,-76.15588188171384,107.04999999999997,0.0,30.89411811828613
0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,90.50000000000001,8.318995475769043,10.8625,0.0,0.0,-83.18995475769043,108.625,0.0,25.43504524230957
0.0,9.999999999999986,0.0,0.0,9.999999999999986,0.0,0.002154316105899498,0.0,90.50204660030062,7.603865146636963,10.386666666666668,0.0021543161059106,0.0,-76.03865146636952,103.86666666666653,0.001346447566187186,27.82666875273083
