Appendix,deg_cost,tol,DABC_mean,DABC_std,SAC_mean,SAC_std,Gap (DABC-SAC),DABC_wins
A (deg),2.5,5.0,4966.510183105469,1886.0295067887419,4480.2459114583335,1685.5904045396098,486.2642716471355,True
A (deg),5.0,5.0,4716.959112955728,1872.3623064996768,4368.640874430339,1740.5853125016704,348.31823852538946,True
A (deg),7.5,5.0,4544.722232259114,1861.0712919400517,4382.609926350911,1720.9899749929614,162.11230590820287,True
A (deg),10.0,5.0,4409.634196777343,1869.1480761926746,4308.97851155599,1761.1048987751753,100.65568522135345,True
B (tol),5.0,2.0,4763.265691731771,1883.9206100003473,4465.371409505208,1599.5067302307316,297.8942822265626,True
B (tol),5.0,10.0,4772.011583658854,1899.313688180337,4323.626803385417,1730.3499478546987,448.3847802734372,True
